               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081771,             0.02091,            0.042444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00326,             0.00326,             0.07066
                   1,            0.065384,            0.015472,            0.024309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063862,           0.0063862,            0.041086
                   2,            0.060706,            0.014719,            0.017017,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089578,           0.0089578,            0.010958
                   3,            0.056183,            0.014641,            0.015317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008145,            0.008145,            0.008145
                   4,            0.052865,            0.014182,              0.0144,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008145,            0.008145,            0.008145
                   5,             0.04848,            0.013511,            0.011477,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068906,           0.0068906,           0.0068906
                   6,            0.044474,            0.013143,           0.0092916,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0055,              0.0055,              0.0055
                   7,            0.041363,            0.012345,           0.0079667,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041094,           0.0041094,           0.0041094
